STATE,SEX,AGEGRP,NMEMB,YEAR
Hawaii,2,10_19,290,2010
Hawaii,1,20_29,197,2010
Hawaii,2,20_29,217,2010
Hawaii,1,30_39,254,2010
Hawaii,2,30_39,258,2010
Hawaii,1,40_49,351,2010
Hawaii,2,40_49,405,2010
Hawaii,1,50_59,612,2010
Hawaii,2,50_59,782,2010
Hawaii,1,60_69,487,2010
Hawaii,2,60_69,553,2010
Idaho,1,00_04,2649,2010
Idaho,2,00_04,2541,2010
Idaho,1,05_09,3096,2010
Idaho,2,05_09,2915,2010
Idaho,1,10_19,5924,2010
Idaho,2,10_19,5860,2010
Idaho,1,20_29,3489,2010
Idaho,2,20_29,4089,2010
Idaho,1,30_39,4777,2010
Idaho,2,30_39,4993,2010
Idaho,1,40_49,5316,2010
Idaho,2,40_49,5631,2010
Idaho,1,50_59,5505,2010
Idaho,2,50_59,5975,2010
Idaho,1,60_69,2040,2010
Idaho,2,60_69,2102,2010
Illinois,1,00_04,68637,2010
Illinois,2,00_04,65527,2010
Illinois,1,05_09,79834,2010
Illinois,2,05_09,77103,2010
Illinois,1,10_19,182496,2010
Illinois,2,10_19,175557,2010
Illinois,1,20_29,122828,2010
Illinois,2,20_29,130766,2010
Illinois,1,30_39,161539,2010
Illinois,2,30_39,177480,2010
Illinois,1,40_49,198862,2010
Illinois,2,40_49,219984,2010
Illinois,1,50_59,202263,2010
Illinois,2,50_59,228563,2010
Illinois,1,60_69,68299,2010
Illinois,2,60_69,73696,2010
Indiana,1,00_04,37249,2010
Indiana,2,00_04,35247,2010
Indiana,1,05_09,45619,2010
Indiana,2,05_09,43967,2010
Indiana,1,10_19,105089,2010
Indiana,2,10_19,101059,2010
Indiana,1,20_29,63449,2010
Indiana,2,20_29,64809,2010
Indiana,1,30_39,88661,2010
Indiana,2,30_39,91268,2010
Indiana,1,40_49,109289,2010
Indiana,2,40_49,116506,2010
Indiana,1,50_59,120447,2010
Indiana,2,50_59,130791,2010
Indiana,1,60_69,41826,2010
Indiana,2,60_69,44836,2010
Iowa,1,00_04,9538,2010
Iowa,2,00_04,9098,2010
Iowa,1,05_09,11179,2010
Iowa,2,05_09,10666,2010
Iowa,1,10_19,24221,2010
Iowa,2,10_19,23014,2010
Iowa,1,20_29,15776,2010
Iowa,2,20_29,17375,2010
Iowa,1,30_39,19930,2010
Iowa,2,30_39,21487,2010
Iowa,1,40_49,24172,2010
Iowa,2,40_49,26165,2010
Iowa,1,50_59,23622,2010
Iowa,2,50_59,25154,2010
Iowa,1,60_69,6721,2010
Iowa,2,60_69,6945,2010
Kansas,1,00_04,6905,2010
Kansas,2,00_04,6581,2010
Kansas,1,05_09,8084,2010
Kansas,2,05_09,7585,2010
Kansas,1,10_19,17140,2010
Kansas,2,10_19,16453,2010
Kansas,1,20_29,10226,2010
Kansas,2,20_29,10775,2010
Kansas,1,30_39,13947,2010
Kansas,2,30_39,14495,2010
Kansas,1,40_49,17262,2010
Kansas,2,40_49,17860,2010
Kansas,1,50_59,17455,2010
Kansas,2,50_59,18406,2010
Kansas,1,60_69,5706,2010
Kansas,2,60_69,5854,2010
Kentucky,1,00_04,14385,2010
Kentucky,2,00_04,13859,2010
Kentucky,1,05_09,18075,2010
Kentucky,2,05_09,17197,2010
Kentucky,1,10_19,40133,2010
Kentucky,2,10_19,38403,2010
Kentucky,1,20_29,25346,2010
Kentucky,2,20_29,26673,2010
Kentucky,1,30_39,38993,2010
Kentucky,2,30_39,39557,2010
Kentucky,1,40_49,48386,2010
Kentucky,2,40_49,50121,2010
Kentucky,1,50_59,49076,2010
Kentucky,2,50_59,50839,2010
Kentucky,1,60_69,16364,2010
Kentucky,2,60_69,16021,2010
Louisiana,1,00_04,7198,2010
Louisiana,2,00_04,6938,2010
Louisiana,1,05_09,8736,2010
Louisiana,2,05_09,8251,2010
Louisiana,1,10_19,19437,2010
Louisiana,2,10_19,19006,2010
Louisiana,1,20_29,14679,2010
Louisiana,2,20_29,14454,2010
Louisiana,1,30_39,18417,2010
Louisiana,2,30_39,18386,2010
Louisiana,1,40_49,21690,2010
Louisiana,2,40_49,22283,2010
Louisiana,1,50_59,24438,2010
Louisiana,2,50_59,24083,2010
Louisiana,1,60_69,8282,2010
Louisiana,2,60_69,7670,2010
Maine,1,00_04,4634,2010
Maine,2,00_04,4457,2010
Maine,1,05_09,6836,2010
Maine,2,05_09,6492,2010
Maine,1,10_19,18357,2010
Maine,2,10_19,17687,2010
Maine,1,20_29,11182,2010
Maine,2,20_29,12482,2010
Maine,1,30_39,14675,2010
Maine,2,30_39,17022,2010
Maine,1,40_49,22439,2010
Maine,2,40_49,26016,2010
Maine,1,50_59,26419,2010
Maine,2,50_59,30898,2010
Maine,1,60_69,9486,2010
Maine,2,60_69,10224,2010
Maryland,1,00_04,8432,2010
Maryland,2,00_04,8118,2010
Maryland,1,05_09,9990,2010
Maryland,2,05_09,9369,2010
Maryland,1,10_19,21590,2010
Maryland,2,10_19,20896,2010
Maryland,1,20_29,15547,2010
Maryland,2,20_29,15167,2010
Maryland,1,30_39,20178,2010
Maryland,2,30_39,21150,2010
Maryland,1,40_49,25467,2010
Maryland,2,40_49,27656,2010
Maryland,1,50_59,24328,2010
Maryland,2,50_59,26097,2010
Maryland,1,60_69,8294,2010
Maryland,2,60_69,8880,2010
Massachusetts,1,00_04,15184,2010
Massachusetts,2,00_04,14599,2010
Massachusetts,1,05_09,17456,2010
Massachusetts,2,05_09,16949,2010
Massachusetts,1,10_19,37521,2010
Massachusetts,2,10_19,36237,2010
Massachusetts,1,20_29,25615,2010
Massachusetts,2,20_29,28107,2010
Massachusetts,1,30_39,35200,2010
Massachusetts,2,30_39,38064,2010
Massachusetts,1,40_49,45210,2010
Massachusetts,2,40_49,49155,2010
Massachusetts,1,50_59,44907,2010
Massachusetts,2,50_59,51354,2010
Massachusetts,1,60_69,17042,2010
Massachusetts,2,60_69,19385,2010
Michigan,1,00_04,30495,2010
Michigan,2,00_04,29381,2010
Michigan,1,05_09,38350,2010
Michigan,2,05_09,36567,2010
Michigan,1,10_19,89205,2010
Michigan,2,10_19,85730,2010
Michigan,1,20_29,48944,2010
Michigan,2,20_29,54218,2010
Michigan,1,30_39,65004,2010
Michigan,2,30_39,72798,2010
Michigan,1,40_49,87795,2010
Michigan,2,40_49,97844,2010
Michigan,1,50_59,111182,2010
Michigan,2,50_59,121782,2010
Michigan,1,60_69,42367,2010
Michigan,2,60_69,43689,2010
Minnesota,1,00_04,11198,2010
Minnesota,2,00_04,10710,2010
Minnesota,1,05_09,11958,2010
Minnesota,2,05_09,11721,2010
Minnesota,1,10_19,23892,2010
Minnesota,2,10_19,22927,2010
Minnesota,1,20_29,16604,2010
Minnesota,2,20_29,17882,2010
Minnesota,1,30_39,22088,2010
Minnesota,2,30_39,22482,2010
Minnesota,1,40_49,26111,2010
Minnesota,2,40_49,26941,2010
Minnesota,1,50_59,23965,2010
Minnesota,2,50_59,24023,2010
Minnesota,1,60_69,6512,2010
Minnesota,2,60_69,6376,2010
Mississippi,1,00_04,8048,2010
Mississippi,2,00_04,7763,2010
Mississippi,1,05_09,9207,2010
Mississippi,2,05_09,8774,2010
Mississippi,1,10_19,21342,2010
Mississippi,2,10_19,20688,2010
Mississippi,1,20_29,14811,2010
Mississippi,2,20_29,20413,2010
Mississippi,1,30_39,21162,2010
Mississippi,2,30_39,31688,2010
Mississippi,1,40_49,25488,2010
Mississippi,2,40_49,38119,2010
Mississippi,1,50_59,28078,2010
Mississippi,2,50_59,40729,2010
Mississippi,1,60_69,9940,2010
