STATE,SEX,AGEGRP,NMEMB
Alabama,1,00_04,6796
Alabama,2,00_04,6607
Alabama,1,05_09,8211
Alabama,2,05_09,8218
Alabama,1,10_19,20687
Alabama,2,10_19,20155
Alabama,1,20_29,21967
Alabama,2,20_29,21971
Alabama,1,30_39,20204
Alabama,2,30_39,22719
Alabama,1,40_49,24720
Alabama,2,40_49,25585
Alabama,1,50_59,27539
Alabama,2,50_59,30253
Alabama,1,60_69,11677
Alabama,2,60_69,12997
Alaska,1,00_04,430
Alaska,2,00_04,438
Alaska,1,05_09,491
Alaska,2,05_09,430
Alaska,1,10_19,1063
Alaska,2,10_19,1011
Alaska,1,20_29,1176
Alaska,2,20_29,1211
Alaska,1,30_39,1192
Alaska,2,30_39,1135
Alaska,1,40_49,1080
Alaska,2,40_49,1116
Alaska,1,50_59,1173
Alaska,2,50_59,1242
Alaska,1,60_69,461
Alaska,2,60_69,439
Arizona,1,00_04,9936
Arizona,2,00_04,9307
Arizona,1,05_09,11508
Arizona,2,05_09,10938
Arizona,1,10_19,24281
Arizona,2,10_19,23317
Arizona,1,20_29,22771
Arizona,2,20_29,23157
Arizona,1,30_39,22978
Arizona,2,30_39,23775
Arizona,1,40_49,24560
Arizona,2,40_49,25161
Arizona,1,50_59,25164
Arizona,2,50_59,26715
Arizona,1,60_69,9501
Arizona,2,60_69,10383
Arkansas,1,00_04,1855
Arkansas,2,00_04,1803
Arkansas,1,05_09,2248
Arkansas,2,05_09,2144
Arkansas,1,10_19,5309
Arkansas,2,10_19,5204
Arkansas,1,20_29,5324
Arkansas,2,20_29,5171
Arkansas,1,30_39,5352
Arkansas,2,30_39,5193
Arkansas,1,40_49,5938
Arkansas,2,40_49,5941
Arkansas,1,50_59,6396
Arkansas,2,50_59,6335
Arkansas,1,60_69,2311
Arkansas,2,60_69,2550
California,1,00_04,39780
California,2,00_04,37728
California,1,05_09,44530
California,2,05_09,42286
California,1,10_19,91468
California,2,10_19,88187
California,1,20_29,87090
California,2,20_29,87792
California,1,30_39,96874
California,2,30_39,107912
California,1,40_49,105997
California,2,40_49,114074
California,1,50_59,112374
California,2,50_59,118976
California,1,60_69,44446
California,2,60_69,47828
