STATE,SEX,AGEGRP,NMEMB
Illinois,2,30_39,58362
Illinois,1,40_49,68737
Illinois,2,40_49,69665
Illinois,1,50_59,75245
Illinois,2,50_59,78796
Illinois,1,60_69,26171
Illinois,2,60_69,27020
Indiana,1,00_04,32155
Indiana,2,00_04,30570
Indiana,1,05_09,40815
Indiana,2,05_09,38643
Indiana,1,10_19,97438
Indiana,2,10_19,94248
Indiana,1,20_29,78637
Indiana,2,20_29,78318
Indiana,1,30_39,77214
Indiana,2,30_39,82173
Indiana,1,40_49,94436
Indiana,2,40_49,99832
Indiana,1,50_59,107645
Indiana,2,50_59,118771
Indiana,1,60_69,39918
Indiana,2,60_69,42414
Iowa,1,00_04,6150
Iowa,2,00_04,5835
Iowa,1,05_09,7112
Iowa,2,05_09,6731
Iowa,1,10_19,15949
Iowa,2,10_19,15285
Iowa,1,20_29,15031
Iowa,2,20_29,14592
Iowa,1,30_39,14774
Iowa,2,30_39,14456
Iowa,1,40_49,15643
Iowa,2,40_49,15426
Iowa,1,50_59,17031
Iowa,2,50_59,16993
Iowa,1,60_69,5536
Iowa,2,60_69,5333
Kansas,1,00_04,5304
Kansas,2,00_04,5321
Kansas,1,05_09,6588
Kansas,2,05_09,6335
Kansas,1,10_19,15161
Kansas,2,10_19,14483
Kansas,1,20_29,12079
Kansas,2,20_29,12073
Kansas,1,30_39,12323
Kansas,2,30_39,12415
Kansas,1,40_49,14121
Kansas,2,40_49,14096
Kansas,1,50_59,15518
Kansas,2,50_59,16135
Kansas,1,60_69,4977
Kansas,2,60_69,5139
Kentucky,1,00_04,21139
Kentucky,2,00_04,19975
Kentucky,1,05_09,25670
Kentucky,2,05_09,24870
Kentucky,1,10_19,61161
Kentucky,2,10_19,58885
Kentucky,1,20_29,47091
Kentucky,2,20_29,51130
Kentucky,1,30_39,49096
Kentucky,2,30_39,59396
Kentucky,1,40_49,62489
Kentucky,2,40_49,74189
Kentucky,1,50_59,69225
Kentucky,2,50_59,86036
Kentucky,1,60_69,25833
Kentucky,2,60_69,31854
Louisiana,1,00_04,21883
Louisiana,2,00_04,21201
Louisiana,1,05_09,26939
Louisiana,2,05_09,25565
Louisiana,1,10_19,64618
Louisiana,2,10_19,62622
Louisiana,1,20_29,60116
Louisiana,2,20_29,61138
Louisiana,1,30_39,59697
Louisiana,2,30_39,68812
Louisiana,1,40_49,70225
Louisiana,2,40_49,81464
Louisiana,1,50_59,84361
Louisiana,2,50_59,102710
Louisiana,1,60_69,31991
Louisiana,2,60_69,38746
Maine,1,00_04,3256
Maine,2,00_04,3052
Maine,1,05_09,4286
Maine,2,05_09,4081
Maine,1,10_19,12449
Maine,2,10_19,12230
Maine,1,20_29,10383
Maine,2,20_29,10842
Maine,1,30_39,8879
Maine,2,30_39,10587
Maine,1,40_49,13684
Maine,2,40_49,15883
Maine,1,50_59,17845
Maine,2,50_59,20908
Maine,1,60_69,6454
Maine,2,60_69,7802
Maryland,1,00_04,8378
Maryland,2,00_04,8225
Maryland,1,05_09,9994
Maryland,2,05_09,9514
Maryland,1,10_19,23096
Maryland,2,10_19,22136
Maryland,1,20_29,21474
Maryland,2,20_29,20684
Maryland,1,30_39,21592
Maryland,2,30_39,22826
Maryland,1,40_49,25154
Maryland,2,40_49,27613
Maryland,1,50_59,27777
Maryland,2,50_59,29808
Maryland,1,60_69,8398
Maryland,2,60_69,9320
Massachusetts,1,00_04,12835
Massachusetts,2,00_04,12109
Massachusetts,1,05_09,15027
Massachusetts,2,05_09,14687
Massachusetts,1,10_19,33380
Massachusetts,2,10_19,32570
Massachusetts,1,20_29,28560
Massachusetts,2,20_29,29410
Massachusetts,1,30_39,30603
Massachusetts,2,30_39,33200
Massachusetts,1,40_49,38199
Massachusetts,2,40_49,40267
Massachusetts,1,50_59,39355
Massachusetts,2,50_59,42557
Massachusetts,1,60_69,12586
Massachusetts,2,60_69,13904
Michigan,1,00_04,29446
Michigan,2,00_04,28246
Michigan,1,05_09,38622
Michigan,2,05_09,36938
Michigan,1,10_19,96307
Michigan,2,10_19,92529
Michigan,1,20_29,74244
Michigan,2,20_29,74832
Michigan,1,30_39,64450
Michigan,2,30_39,72346
Michigan,1,40_49,90128
Michigan,2,40_49,98268
Michigan,1,50_59,111762
Michigan,2,50_59,127783
Michigan,1,60_69,49337
Michigan,2,60_69,58127
Minnesota,1,00_04,9664
Minnesota,2,00_04,8977
Minnesota,1,05_09,10462
Minnesota,2,05_09,10296
Minnesota,1,10_19,21304
Minnesota,2,10_19,20293
Minnesota,1,20_29,19899
Minnesota,2,20_29,19500
Minnesota,1,30_39,23628
Minnesota,2,30_39,23679
Minnesota,1,40_49,24319
Minnesota,2,40_49,24014
Minnesota,1,50_59,25005
Minnesota,2,50_59,24822
Minnesota,1,60_69,7368
Minnesota,2,60_69,7210
Mississippi,1,00_04,6515
Mississippi,2,00_04,6209
Mississippi,1,05_09,8370
Mississippi,2,05_09,7951
Mississippi,1,10_19,20284
Mississippi,2,10_19,19364
Mississippi,1,20_29,17598
Mississippi,2,20_29,21539
Mississippi,1,30_39,19100
Mississippi,2,30_39,29015
Mississippi,1,40_49,23554
Mississippi,2,40_49,34770
Mississippi,1,50_59,26210
Mississippi,2,50_59,37873
Mississippi,1,60_69,9338
Mississippi,2,60_69,12949
Missouri,1,00_04,16449
Missouri,2,00_04,15486
Missouri,1,05_09,19884
Missouri,2,05_09,19149
Missouri,1,10_19,47998
Missouri,2,10_19,45855
Missouri,1,20_29,38932
Missouri,2,20_29,40698
Missouri,1,30_39,38422
Missouri,2,30_39,43412
Missouri,1,40_49,44824
Missouri,2,40_49,51371
Missouri,1,50_59,53569
Missouri,2,50_59,61332
Missouri,1,60_69,17355
Missouri,2,60_69,20187
Montana,1,00_04,880
Montana,2,00_04,907
Montana,1,05_09,1121
Montana,2,05_09,1068
Montana,1,10_19,2438
Montana,2,10_19,2256
Montana,1,20_29,2375
Montana,2,20_29,2368
Montana,1,30_39,2356
Montana,2,30_39,2296
Montana,1,40_49,2520
Montana,2,40_49,2560
Montana,1,50_59,3033
Montana,2,50_59,3178
Montana,1,60_69,1140
Montana,2,60_69,1102
Nebraska,1,00_04,3093
Nebraska,2,00_04,2916
Nebraska,1,05_09,3418
Nebraska,2,05_09,3263
Nebraska,1,10_19,7019
Nebraska,2,10_19,6702
Nebraska,1,20_29,6566
Nebraska,2,20_29,6201
Nebraska,1,30_39,7458
Nebraska,2,30_39,6806
Nebraska,1,40_49,7126
Nebraska,2,40_49,6453
Nebraska,1,50_59,7731
Nebraska,2,50_59,7148
Nebraska,1,60_69,2243
Nebraska,2,60_69,2148
Nevada,1,00_04,6304
Nevada,2,00_04,5884
Nevada,1,05_09,7482
Nevada,2,05_09,7296
Nevada,1,10_19,16732
Nevada,2,10_19,16136
Nevada,1,20_29,13580
Nevada,2,20_29,14343
Nevada,1,30_39,14919
Nevada,2,30_39,15367
Nevada,1,40_49,17457
Nevada,2,40_49,17422
Nevada,1,50_59,16881
Nevada,2,50_59,17317
Nevada,1,60_69,5732
Nevada,2,60_69,6313
New Hampshire,1,00_04,3790
New Hampshire,2,00_04,3550
New Hampshire,1,05_09,4921
New Hampshire,2,05_09,4624
New Hampshire,1,10_19,13576
New Hampshire,2,10_19,12961
New Hampshire,1,20_29,10827
New Hampshire,2,20_29,10975
New Hampshire,1,30_39,10173
New Hampshire,2,30_39,11287
New Hampshire,1,40_49,15101
New Hampshire,2,40_49,16455
New Hampshire,1,50_59,18180
New Hampshire,2,50_59,19819
New Hampshire,1,60_69,6359
New Hampshire,2,60_69,6886
New Jersey,1,00_04,21591
New Jersey,2,00_04,20495
New Jersey,1,05_09,26361
New Jersey,2,05_09,25306
New Jersey,1,10_19,59058
New Jersey,2,10_19,56750
New Jersey,1,20_29,45489
New Jersey,2,20_29,44875
New Jersey,1,30_39,48168
New Jersey,2,30_39,52510
New Jersey,1,40_49,65206
New Jersey,2,40_49,68965
New Jersey,1,50_59,65354
New Jersey,2,50_59,69129
New Jersey,1,60_69,19790
New Jersey,2,60_69,21264
New Mexico,1,00_04,5193
New Mexico,2,00_04,4884
New Mexico,1,05_09,6747
New Mexico,2,05_09,6474
New Mexico,1,10_19,16531
New Mexico,2,10_19,16334
New Mexico,1,20_29,14361
New Mexico,2,20_29,15121
New Mexico,1,30_39,14814
New Mexico,2,30_39,16841
New Mexico,1,40_49,17618
New Mexico,2,40_49,20220
New Mexico,1,50_59,20376
New Mexico,2,50_59,23890
New Mexico,1,60_69,7127
New Mexico,2,60_69,8421
New York,1,00_04,71112
New York,2,00_04,67310
New York,1,05_09,84253
New York,2,05_09,80707
New York,1,10_19,207871
New York,2,10_19,200741
New York,1,20_29,190412
New York,2,20_29,192922
New York,1,30_39,177005
New York,2,30_39,195404
New York,1,40_49,230075
New York,2,40_49,251413
New York,1,50_59,269045
New York,2,50_59,296225
New York,1,60_69,95073
New York,2,60_69,105764
North Carolina,1,00_04,27909
North Carolina,2,00_04,26445
North Carolina,1,05_09,36354
North Carolina,2,05_09,34764
North Carolina,1,10_19,84857
North Carolina,2,10_19,81861
North Carolina,1,20_29,64864
North Carolina,2,20_29,79319
North Carolina,1,30_39,70800
North Carolina,2,30_39,101331
North Carolina,1,40_49,97645
North Carolina,2,40_49,131218
North Carolina,1,50_59,102090
North Carolina,2,50_59,141722
North Carolina,1,60_69,36970
North Carolina,2,60_69,52557
North Dakota,1,00_04,642
North Dakota,2,00_04,621
North Dakota,1,05_09,668
North Dakota,2,05_09,632
North Dakota,1,10_19,1286
North Dakota,2,10_19,1294
North Dakota,1,20_29,1556
North Dakota,2,20_29,1332
North Dakota,1,30_39,1539
North Dakota,2,30_39,1263
North Dakota,1,40_49,1329
North Dakota,2,40_49,1157
North Dakota,1,50_59,1419
North Dakota,2,50_59,1337
North Dakota,1,60_69,449
North Dakota,2,60_69,408
Ohio,1,00_04,47118
Ohio,2,00_04,44325
Ohio,1,05_09,57704
Ohio,2,05_09,55400
Ohio,1,10_19,140607
Ohio,2,10_19,134722
Ohio,1,20_29,112995
Ohio,2,20_29,112701
Ohio,1,30_39,111634
Ohio,2,30_39,119401
Ohio,1,40_49,140214
Ohio,2,40_49,148559
Ohio,1,50_59,156818
Ohio,2,50_59,171552
Ohio,1,60_69,53143
Ohio,2,60_69,55643
Oklahoma,1,00_04,7129
Oklahoma,2,00_04,6854
Oklahoma,1,05_09,9146
Oklahoma,2,05_09,8670
Oklahoma,1,10_19,22406
Oklahoma,2,10_19,21741
Oklahoma,1,20_29,18940
Oklahoma,2,20_29,21656
Oklahoma,1,30_39,19165
Oklahoma,2,30_39,24254
Oklahoma,1,40_49,21766
Oklahoma,2,40_49,28490
Oklahoma,1,50_59,27473
Oklahoma,2,50_59,36697
Oklahoma,1,60_69,10565
Oklahoma,2,60_69,13872
Oregon,1,00_04,10332
Oregon,2,00_04,9833
Oregon,1,05_09,11998
Oregon,2,05_09,11648
Oregon,1,10_19,27400
Oregon,2,10_19,26268
Oregon,1,20_29,21547
Oregon,2,20_29,23061
Oregon,1,30_39,24804
Oregon,2,30_39,28036
Oregon,1,40_49,27636
Oregon,2,40_49,30227
Oregon,1,50_59,30157
Oregon,2,50_59,34665
Oregon,1,60_69,11493
Oregon,2,60_69,13169
Pennsylvania,1,00_04,58753
Pennsylvania,2,00_04,56038
Pennsylvania,1,05_09,71068
Pennsylvania,2,05_09,68002
Pennsylvania,1,10_19,171103
Pennsylvania,2,10_19,165376
Pennsylvania,1,20_29,152276
Pennsylvania,2,20_29,151261
Pennsylvania,1,30_39,144941
Pennsylvania,2,30_39,154581
Pennsylvania,1,40_49,192677
Pennsylvania,2,40_49,206033
Pennsylvania,1,50_59,232594
Pennsylvania,2,50_59,256504
Pennsylvania,1,60_69,88488
Pennsylvania,2,60_69,98142
Rhode Island,1,00_04,1625
Rhode Island,2,00_04,1617
Rhode Island,1,05_09,1948
Rhode Island,2,05_09,1885
Rhode Island,1,10_19,4362
Rhode Island,2,10_19,4183
Rhode Island,1,20_29,4404
Rhode Island,2,20_29,4518
Rhode Island,1,30_39,4432
Rhode Island,2,30_39,4579
Rhode Island,1,40_49,4796
Rhode Island,2,40_49,5132
Rhode Island,1,50_59,5678
Rhode Island,2,50_59,6216
Rhode Island,1,60_69,1821
Rhode Island,2,60_69,1875
South Carolina,1,00_04,25793
South Carolina,2,00_04,24277
South Carolina,1,05_09,32331
South Carolina,2,05_09,31101
South Carolina,1,10_19,77507
South Carolina,2,10_19,74496
South Carolina,1,20_29,67386
South Carolina,2,20_29,72130
South Carolina,1,30_39,68793
South Carolina,2,30_39,82547
South Carolina,1,40_49,85437
South Carolina,2,40_49,101076
South Carolina,1,50_59,91421
South Carolina,2,50_59,114289
South Carolina,1,60_69,33678
South Carolina,2,60_69,43503
South Dakota,1,00_04,1301
South Dakota,2,00_04,1250
South Dakota,1,05_09,1502
South Dakota,2,05_09,1431
South Dakota,1,10_19,2992
South Dakota,2,10_19,2864
South Dakota,1,20_29,2710
South Dakota,2,20_29,2799
South Dakota,1,30_39,2915
South Dakota,2,30_39,2942
South Dakota,1,40_49,2776
South Dakota,2,40_49,2786
South Dakota,1,50_59,3169
South Dakota,2,50_59,3161
South Dakota,1,60_69,1094
South Dakota,2,60_69,1077
Tennessee,1,00_04,16911
Tennessee,2,00_04,15871
Tennessee,1,05_09,21997
Tennessee,2,05_09,20851
Tennessee,1,10_19,53153
Tennessee,2,10_19,51467
Tennessee,1,20_29,42243
Tennessee,2,20_29,45553
Tennessee,1,30_39,41751
Tennessee,2,30_39,51119
Tennessee,1,40_49,54707
Tennessee,2,40_49,64680
Tennessee,1,50_59,61219
Tennessee,2,50_59,75306
Tennessee,1,60_69,23276
Tennessee,2,60_69,28311
Texas,1,00_04,56385
Texas,2,00_04,53880
Texas,1,05_09,69977
Texas,2,05_09,66531
Texas,1,10_19,156350
Texas,2,10_19,150729
Texas,1,20_29,126595
Texas,2,20_29,137276
Texas,1,30_39,135449
Texas,2,30_39,154539
Texas,1,40_49,152779
Texas,2,40_49,165878
Texas,1,50_59,153770
Texas,2,50_59,168545
Texas,1,60_69,47206
Texas,2,60_69,51045
Utah,1,00_04,9770
Utah,2,00_04,9265
Utah,1,05_09,11584
Utah,2,05_09,11037
Utah,1,10_19,23269
Utah,2,10_19,22158
Utah,1,20_29,17010
Utah,2,20_29,17605
Utah,1,30_39,18182
Utah,2,30_39,18607
Utah,1,40_49,15550
Utah,2,40_49,15545
Utah,1,50_59,15307
Utah,2,50_59,15991
Utah,1,60_69,5254
Utah,2,60_69,5326
Vermont,1,00_04,433
