STATE,SEX,AGEGRP,NMEMB
Alabama,1,00_04,9391
Alabama,2,00_04,9084
Alabama,1,05_09,11931
Alabama,2,05_09,11632
Alabama,1,10_19,30788
Alabama,2,10_19,29736
Alabama,1,20_29,25903
Alabama,2,20_29,26372
Alabama,1,30_39,28119
Alabama,2,30_39,30708
Alabama,1,40_49,34938
Alabama,2,40_49,37817
Alabama,1,50_59,38773
Alabama,2,50_59,43033
Alabama,1,60_69,14047
Alabama,2,60_69,14769
Alaska,1,00_04,1034
Alaska,2,00_04,932
Alaska,1,05_09,1206
Alaska,2,05_09,1100
Alaska,1,10_19,2691
Alaska,2,10_19,2545
Alaska,1,20_29,2547
Alaska,2,20_29,2670
Alaska,1,30_39,2262
Alaska,2,30_39,2559
Alaska,1,40_49,2633
Alaska,2,40_49,2968
Alaska,1,50_59,2924
Alaska,2,50_59,3155
Alaska,1,60_69,708
Alaska,2,60_69,729
Arizona,1,00_04,14814
Arizona,2,00_04,14153
Arizona,1,05_09,16607
Arizona,2,05_09,15657
Arizona,1,10_19,34646
Arizona,2,10_19,33553
Arizona,1,20_29,27980
Arizona,2,20_29,29685
Arizona,1,30_39,33065
Arizona,2,30_39,34125
Arizona,1,40_49,35076
Arizona,2,40_49,35946
Arizona,1,50_59,32184
Arizona,2,50_59,35907
Arizona,1,60_69,11161
Arizona,2,60_69,12855
Arkansas,1,00_04,5016
Arkansas,2,00_04,4727
Arkansas,1,05_09,6454
Arkansas,2,05_09,6349
Arkansas,1,10_19,16074
Arkansas,2,10_19,15656
Arkansas,1,20_29,12898
Arkansas,2,20_29,12161
Arkansas,1,30_39,14742
Arkansas,2,30_39,14487
Arkansas,1,40_49,18130
Arkansas,2,40_49,17252
Arkansas,1,50_59,17095
Arkansas,2,50_59,16797
Arkansas,1,60_69,5181
Arkansas,2,60_69,5238
California,1,00_04,135190
California,2,00_04,127829
California,1,05_09,155953
California,2,05_09,148790
California,1,10_19,357348
California,2,10_19,342802
California,1,20_29,292414
California,2,20_29,303282
California,1,30_39,299639
California,2,30_39,341936
California,1,40_49,372036
California,2,40_49,411166
California,1,50_59,389908
California,2,50_59,440189
California,1,60_69,130832
California,2,60_69,147280
Colorado,1,00_04,14890
Colorado,2,00_04,13895
Colorado,1,05_09,16777
Colorado,2,05_09,16080
Colorado,1,10_19,35341
Colorado,2,10_19,33694
Colorado,1,20_29,29423
Colorado,2,20_29,30252
Colorado,1,30_39,34363
Colorado,2,30_39,35960
Colorado,1,40_49,39215
Colorado,2,40_49,40280
Colorado,1,50_59,40539
Colorado,2,50_59,43160
Colorado,1,60_69,13262
Colorado,2,60_69,15256
Connecticut,1,00_04,12346
Connecticut,2,00_04,11891
Connecticut,1,05_09,16378
Connecticut,2,05_09,15665
Connecticut,1,10_19,46289
Connecticut,2,10_19,44372
Connecticut,1,20_29,37390
Connecticut,2,20_29,36091
Connecticut,1,30_39,31282
Connecticut,2,30_39,34179
Connecticut,1,40_49,49156
Connecticut,2,40_49,53253
Connecticut,1,50_59,57814
Connecticut,2,50_59,62539
Connecticut,1,60_69,19565
Connecticut,2,60_69,21089
Delaware,1,00_04,4145
Delaware,2,00_04,3899
Delaware,1,05_09,4916
Delaware,2,05_09,4806
