STATE,SEX,AGEGRP,NMEMB
Alabama,1,00_04,6298
Alabama,2,00_04,6237
Alabama,1,05_09,8113
Alabama,2,05_09,7906
Alabama,1,10_19,21245
Alabama,2,10_19,20792
Alabama,1,20_29,20061
Alabama,2,20_29,20261
Alabama,1,30_39,19156
Alabama,2,30_39,21529
Alabama,1,40_49,23606
Alabama,2,40_49,25196
Alabama,1,50_59,27952
Alabama,2,50_59,31343
Alabama,1,60_69,10616
Alabama,2,60_69,11996
Alaska,1,00_04,681
Alaska,2,00_04,653
Alaska,1,05_09,792
Alaska,2,05_09,671
Alaska,1,10_19,1664
Alaska,2,10_19,1615
Alaska,1,20_29,1826
Alaska,2,20_29,1814
Alaska,1,30_39,1705
Alaska,2,30_39,1610
Alaska,1,40_49,1618
Alaska,2,40_49,1585
Alaska,1,50_59,1769
Alaska,2,50_59,1783
Alaska,1,60_69,496
Alaska,2,60_69,500
Arizona,1,00_04,11024
Arizona,2,00_04,10449
Arizona,1,05_09,13492
Arizona,2,05_09,12801
Arizona,1,10_19,27958
Arizona,2,10_19,26868
Arizona,1,20_29,23197
Arizona,2,20_29,24150
Arizona,1,30_39,25049
Arizona,2,30_39,27166
Arizona,1,40_49,26480
Arizona,2,40_49,27643
Arizona,1,50_59,24813
Arizona,2,50_59,27517
Arizona,1,60_69,7736
Arizona,2,60_69,9388
Arkansas,1,00_04,3333
Arkansas,2,00_04,3218
Arkansas,1,05_09,4122
Arkansas,2,05_09,3929
Arkansas,1,10_19,9839
Arkansas,2,10_19,9542
Arkansas,1,20_29,8912
Arkansas,2,20_29,9055
Arkansas,1,30_39,9105
Arkansas,2,30_39,9713
Arkansas,1,40_49,10242
Arkansas,2,40_49,10779
Arkansas,1,50_59,10442
Arkansas,2,50_59,11203
Arkansas,1,60_69,3440
Arkansas,2,60_69,3892
California,1,00_04,39190
California,2,00_04,37441
California,1,05_09,45692
California,2,05_09,43325
California,1,10_19,95730
California,2,10_19,92754
California,1,20_29,92045
California,2,20_29,93305
California,1,30_39,95191
California,2,30_39,107667
California,1,40_49,104083
California,2,40_49,113863
California,1,50_59,112997
California,2,50_59,124291
California,1,60_69,37854
California,2,60_69,42866
Colorado,1,00_04,9301
Colorado,2,00_04,8698
Colorado,1,05_09,10702
Colorado,2,05_09,10128
Colorado,1,10_19,22790
Colorado,2,10_19,21631
Colorado,1,20_29,19320
Colorado,2,20_29,20012
Colorado,1,30_39,20745
Colorado,2,30_39,23286
Colorado,1,40_49,22474
Colorado,2,40_49,24204
Colorado,1,50_59,24727
Colorado,2,50_59,27319
Colorado,1,60_69,8249
Colorado,2,60_69,8714
Connecticut,1,00_04,5068
Connecticut,2,00_04,4788
Connecticut,1,05_09,6378
Connecticut,2,05_09,6220
Connecticut,1,10_19,16172
Connecticut,2,10_19,15382
Connecticut,1,20_29,15399
Connecticut,2,20_29,12866
Connecticut,1,30_39,13366
Connecticut,2,30_39,12187
Connecticut,1,40_49,17091
Connecticut,2,40_49,17236
Connecticut,1,50_59,22547
Connecticut,2,50_59,21640
Connecticut,1,60_69,7199
Connecticut,2,60_69,6798
Delaware,1,00_04,3624
Delaware,2,00_04,3483
Delaware,1,05_09,4513
