STATE,SEX,AGEGRP,NMEMB
Alabama,1,00_04,9855
Alabama,2,00_04,9401
Alabama,1,05_09,12284
Alabama,2,05_09,11859
Alabama,1,10_19,28608
Alabama,2,10_19,27619
Alabama,1,20_29,18669
Alabama,2,20_29,20648
Alabama,1,30_39,28085
Alabama,2,30_39,30770
Alabama,1,40_49,33641
Alabama,2,40_49,37771
Alabama,1,50_59,37294
Alabama,2,50_59,41450
Alabama,1,60_69,13140
Alabama,2,60_69,14043
Alaska,1,00_04,1090
Alaska,2,00_04,1005
Alaska,1,05_09,1156
Alaska,2,05_09,1061
Alaska,1,10_19,2661
Alaska,2,10_19,2500
Alaska,1,20_29,1946
Alaska,2,20_29,2380
Alaska,1,30_39,2245
Alaska,2,30_39,2749
Alaska,1,40_49,2777
Alaska,2,40_49,3303
Alaska,1,50_59,2959
Alaska,2,50_59,3286
Alaska,1,60_69,686
Alaska,2,60_69,695
Arizona,1,00_04,16029
Arizona,2,00_04,15187
Arizona,1,05_09,17029
Arizona,2,05_09,15952
Arizona,1,10_19,33738
Arizona,2,10_19,32953
Arizona,1,20_29,24918
Arizona,2,20_29,28774
Arizona,1,30_39,33303
Arizona,2,30_39,35574
Arizona,1,40_49,34251
Arizona,2,40_49,36631
Arizona,1,50_59,30992
Arizona,2,50_59,36314
Arizona,1,60_69,12217
Arizona,2,60_69,13821
Arkansas,1,00_04,5138
Arkansas,2,00_04,4789
Arkansas,1,05_09,6638
Arkansas,2,05_09,6651
Arkansas,1,10_19,15587
Arkansas,2,10_19,15027
Arkansas,1,20_29,9719
Arkansas,2,20_29,9856
Arkansas,1,30_39,14851
Arkansas,2,30_39,14965
Arkansas,1,40_49,18763
Arkansas,2,40_49,18027
Arkansas,1,50_59,16805
Arkansas,2,50_59,16882
Arkansas,1,60_69,5537
Arkansas,2,60_69,5722
California,1,00_04,130202
California,2,00_04,123599
California,1,05_09,145466
California,2,05_09,138518
California,1,10_19,337936
California,2,10_19,326189
California,1,20_29,208773
California,2,20_29,229877
California,1,30_39,284510
California,2,30_39,323482
California,1,40_49,353579
California,2,40_49,393946
California,1,50_59,363406
California,2,50_59,412281
California,1,60_69,125659
California,2,60_69,137096
Colorado,1,00_04,13674
Colorado,2,00_04,13205
Colorado,1,05_09,15528
Colorado,2,05_09,14570
Colorado,1,10_19,31348
Colorado,2,10_19,29715
Colorado,1,20_29,21528
Colorado,2,20_29,23917
Colorado,1,30_39,31232
Colorado,2,30_39,32865
Colorado,1,40_49,36077
Colorado,2,40_49,37989
Colorado,1,50_59,36045
Colorado,2,50_59,39412
Colorado,1,60_69,12451
Colorado,2,60_69,14135
Connecticut,1,00_04,14485
Connecticut,2,00_04,13783
Connecticut,1,05_09,20639
Connecticut,2,05_09,19647
Connecticut,1,10_19,55917
Connecticut,2,10_19,54238
Connecticut,1,20_29,34762
Connecticut,2,20_29,37484
Connecticut,1,30_39,40592
Connecticut,2,30_39,46502
Connecticut,1,40_49,62278
Connecticut,2,40_49,70342
Connecticut,1,50_59,67498
Connecticut,2,50_59,75640
Connecticut,1,60_69,23828
Connecticut,2,60_69,26037
Delaware,1,00_04,4141
Delaware,2,00_04,4007
Delaware,1,05_09,4836
Delaware,2,05_09,4628
Delaware,1,10_19,11450
Delaware,2,10_19,10824
Delaware,1,20_29,5604
Delaware,2,20_29,6719
Delaware,1,30_39,8362
Delaware,2,30_39,10460
Delaware,1,40_49,10805
Delaware,2,40_49,13479
Delaware,1,50_59,11568
Delaware,2,50_59,14483
Delaware,1,60_69,4721
Delaware,2,60_69,5431
Florida,1,00_04,35543
Florida,2,00_04,33859
Florida,1,05_09,41069
Florida,2,05_09,39467
Florida,1,10_19,92962
Florida,2,10_19,90512
Florida,1,20_29,63444
Florida,2,20_29,73394
Florida,1,30_39,89217
Florida,2,30_39,99805
Florida,1,40_49,113917
Florida,2,40_49,126544
Florida,1,50_59,107726
Florida,2,50_59,126737
Florida,1,60_69,41121
Florida,2,60_69,47896
Georgia,1,00_04,46623
Georgia,2,00_04,44465
Georgia,1,05_09,57410
Georgia,2,05_09,55224
Georgia,1,10_19,126252
Georgia,2,10_19,123649
Georgia,1,20_29,67977
Georgia,2,20_29,88778
Georgia,1,30_39,111482
Georgia,2,30_39,145703
Georgia,1,40_49,139000
Georgia,2,40_49,173600
Georgia,1,50_59,134749
Georgia,2,50_59,173821
Georgia,1,60_69,49669
Georgia,2,60_69,59615
Hawaii,1,00_04,100
Hawaii,2,00_04,92
Hawaii,1,05_09,113
Hawaii,2,05_09,131
Hawaii,1,10_19,280
Hawaii,2,10_19,290
Hawaii,1,20_29,197
Hawaii,2,20_29,217
Hawaii,1,30_39,254
Hawaii,2,30_39,258
Hawaii,1,40_49,351
Hawaii,2,40_49,405
Hawaii,1,50_59,612
Hawaii,2,50_59,782
Hawaii,1,60_69,487
Hawaii,2,60_69,553
Idaho,1,00_04,2649
Idaho,2,00_04,2541
Idaho,1,05_09,3096
Idaho,2,05_09,2915
Idaho,1,10_19,5924
Idaho,2,10_19,5860
Idaho,1,20_29,3489
Idaho,2,20_29,4089
Idaho,1,30_39,4777
Idaho,2,30_39,4993
Idaho,1,40_49,5316
Idaho,2,40_49,5631
Idaho,1,50_59,5505
Idaho,2,50_59,5975
Idaho,1,60_69,2040
Idaho,2,60_69,2102
Illinois,1,00_04,68637
Illinois,2,00_04,65527
Illinois,1,05_09,79834
Illinois,2,05_09,77103
Illinois,1,10_19,182496
Illinois,2,10_19,175557
Illinois,1,20_29,122828
Illinois,2,20_29,130766
Illinois,1,30_39,161539
Illinois,2,30_39,177480
Illinois,1,40_49,198862
Illinois,2,40_49,219984
Illinois,1,50_59,202263
Illinois,2,50_59,228563
Illinois,1,60_69,68299
Illinois,2,60_69,73696
Indiana,1,00_04,37249
Indiana,2,00_04,35247
Indiana,1,05_09,45619
Indiana,2,05_09,43967
Indiana,1,10_19,105089
Indiana,2,10_19,101059
Indiana,1,20_29,63449
Indiana,2,20_29,64809
Indiana,1,30_39,88661
Indiana,2,30_39,91268
Indiana,1,40_49,109289
Indiana,2,40_49,116506
Indiana,1,50_59,120447
Indiana,2,50_59,130791
Indiana,1,60_69,41826
Indiana,2,60_69,44836
Iowa,1,00_04,9538
Iowa,2,00_04,9098
Iowa,1,05_09,11179
Iowa,2,05_09,10666
Iowa,1,10_19,24221
Iowa,2,10_19,23014
Iowa,1,20_29,15776
Iowa,2,20_29,17375
Iowa,1,30_39,19930
Iowa,2,30_39,21487
Iowa,1,40_49,24172
Iowa,2,40_49,26165
Iowa,1,50_59,23622
Iowa,2,50_59,25154
Iowa,1,60_69,6721
Iowa,2,60_69,6945
Kansas,1,00_04,6905
Kansas,2,00_04,6581
Kansas,1,05_09,8084
Kansas,2,05_09,7585
Kansas,1,10_19,17140
Kansas,2,10_19,16453
Kansas,1,20_29,10226
Kansas,2,20_29,10775
Kansas,1,30_39,13947
Kansas,2,30_39,14495
Kansas,1,40_49,17262
Kansas,2,40_49,17860
Kansas,1,50_59,17455
Kansas,2,50_59,18406
Kansas,1,60_69,5706
Kansas,2,60_69,5854
Kentucky,1,00_04,14385
Kentucky,2,00_04,13859
Kentucky,1,05_09,18075
Kentucky,2,05_09,17197
Kentucky,1,10_19,40133
Kentucky,2,10_19,38403
Kentucky,1,20_29,25346
Kentucky,2,20_29,26673
Kentucky,1,30_39,38993
Kentucky,2,30_39,39557
Kentucky,1,40_49,48386
Kentucky,2,40_49,50121
Kentucky,1,50_59,49076
Kentucky,2,50_59,50839
Kentucky,1,60_69,16364
Kentucky,2,60_69,16021
Louisiana,1,00_04,7198
Louisiana,2,00_04,6938
Louisiana,1,05_09,8736
Louisiana,2,05_09,8251
Louisiana,1,10_19,19437
Louisiana,2,10_19,19006
Louisiana,1,20_29,14679
Louisiana,2,20_29,14454
Louisiana,1,30_39,18417
Louisiana,2,30_39,18386
Louisiana,1,40_49,21690
Louisiana,2,40_49,22283
Louisiana,1,50_59,24438
Louisiana,2,50_59,24083
Louisiana,1,60_69,8282
Louisiana,2,60_69,7670
Maine,1,00_04,4634
Maine,2,00_04,4457
Maine,1,05_09,6836
Maine,2,05_09,6492
Maine,1,10_19,18357
Maine,2,10_19,17687
Maine,1,20_29,11182
Maine,2,20_29,12482
Maine,1,30_39,14675
Maine,2,30_39,17022
Maine,1,40_49,22439
Maine,2,40_49,26016
Maine,1,50_59,26419
Maine,2,50_59,30898
Maine,1,60_69,9486
Maine,2,60_69,10224
Maryland,1,00_04,8432
Maryland,2,00_04,8118
Maryland,1,05_09,9990
Maryland,2,05_09,9369
Maryland,1,10_19,21590
Maryland,2,10_19,20896
Maryland,1,20_29,15547
Maryland,2,20_29,15167
Maryland,1,30_39,20178
Maryland,2,30_39,21150
Maryland,1,40_49,25467
Maryland,2,40_49,27656
Maryland,1,50_59,24328
Maryland,2,50_59,26097
Maryland,1,60_69,8294
Maryland,2,60_69,8880
Massachusetts,1,00_04,15184
Massachusetts,2,00_04,14599
Massachusetts,1,05_09,17456
Massachusetts,2,05_09,16949
Massachusetts,1,10_19,37521
Massachusetts,2,10_19,36237
Massachusetts,1,20_29,25615
Massachusetts,2,20_29,28107
Massachusetts,1,30_39,35200
Massachusetts,2,30_39,38064
Massachusetts,1,40_49,45210
Massachusetts,2,40_49,49155
Massachusetts,1,50_59,44907
Massachusetts,2,50_59,51354
Massachusetts,1,60_69,17042
Massachusetts,2,60_69,19385
Michigan,1,00_04,30495
Michigan,2,00_04,29381
Michigan,1,05_09,38350
Michigan,2,05_09,36567
Michigan,1,10_19,89205
Michigan,2,10_19,85730
Michigan,1,20_29,48944
Michigan,2,20_29,54218
Michigan,1,30_39,65004
Michigan,2,30_39,72798
Michigan,1,40_49,87795
Michigan,2,40_49,97844
Michigan,1,50_59,111182
Michigan,2,50_59,121782
Michigan,1,60_69,42367
Michigan,2,60_69,43689
Minnesota,1,00_04,11198
Minnesota,2,00_04,10710
Minnesota,1,05_09,11958
Minnesota,2,05_09,11721
Minnesota,1,10_19,23892
Minnesota,2,10_19,22927
Minnesota,1,20_29,16604
Minnesota,2,20_29,17882
Minnesota,1,30_39,22088
Minnesota,2,30_39,22482
Minnesota,1,40_49,26111
Minnesota,2,40_49,26941
