STATE,SEX,POPSIZE,AGEGRP
Vermont,1,17073,05_09
Vermont,2,16338,05_09
Virginia,1,264413,05_09
Virginia,2,256891,05_09
Washington,1,227824,05_09
Washington,2,214378,05_09
West Virginia,1,53707,05_09
West Virginia,2,51490,05_09
Wisconsin,1,186006,05_09
Wisconsin,2,180034,05_09
Wyoming,1,19198,05_09
Wyoming,2,19519,05_09
Alabama,1,326856,10_19
Alabama,2,315601,10_19
Alaska,1,53404,10_19
Alaska,2,48073,10_19
Arizona,1,467823,10_19
Arizona,2,445015,10_19
Arkansas,1,201891,10_19
Arkansas,2,193675,10_19
California,1,2667023,10_19
California,2,2543408,10_19
Colorado,1,355721,10_19
Colorado,2,337297,10_19
Connecticut,1,248451,10_19
Connecticut,2,237910,10_19
Delaware,1,60165,10_19
Delaware,2,57437,10_19
Washington DC,1,30835,10_19
Washington DC,2,32318,10_19
Florida,1,1193040,10_19
Florida,2,1134893,10_19
Georgia,1,718668,10_19
Georgia,2,697302,10_19
Hawaii,1,84194,10_19
Hawaii,2,80546,10_19
Idaho,1,121251,10_19
Idaho,2,115679,10_19
Illinois,1,888533,10_19
Illinois,2,847748,10_19
Indiana,1,467279,10_19
Indiana,2,446011,10_19
Iowa,1,214745,10_19
Iowa,2,202953,10_19
Kansas,1,206407,10_19
Kansas,2,197759,10_19
Kentucky,1,295586,10_19
Kentucky,2,278272,10_19
Louisiana,1,314544,10_19
Louisiana,2,299631,10_19
Maine,1,80904,10_19
Maine,2,77548,10_19
Maryland,1,391995,10_19
Maryland,2,378168,10_19
Massachusetts,1,439001,10_19
Massachusetts,2,424417,10_19
Michigan,1,684688,10_19
Michigan,2,657228,10_19
Minnesota,1,365180,10_19
Minnesota,2,350544,10_19
Mississippi,1,214969,10_19
Mississippi,2,207473,10_19
Missouri,1,407655,10_19
Missouri,2,386260,10_19
Montana,1,64997,10_19
Montana,2,60569,10_19
Nebraska,1,130709,10_19
Nebraska,2,125557,10_19
Nevada,1,183018,10_19
Nevada,2,175235,10_19
New Hampshire,1,86885,10_19
New Hampshire,2,84865,10_19
New Jersey,1,597261,10_19
New Jersey,2,564552,10_19
New Mexico,1,145313,10_19
New Mexico,2,139527,10_19
New York,1,1262484,10_19
New York,2,1211033,10_19
North Carolina,1,669489,10_19
North Carolina,2,635280,10_19
North Dakota,1,46022,10_19
North Dakota,2,43677,10_19
Ohio,1,787866,10_19
Ohio,2,754462,10_19
Oklahoma,1,267888,10_19
Oklahoma,2,252688,10_19
Oregon,1,249351,10_19
Oregon,2,236346,10_19
Pennsylvania,1,830940,10_19
Pennsylvania,2,794556,10_19
Rhode Island,1,69050,10_19
Rhode Island,2,68633,10_19
South Carolina,1,316125,10_19
South Carolina,2,301253,10_19
South Dakota,1,57795,10_19
South Dakota,2,54461,10_19
Tennessee,1,432805,10_19
Tennessee,2,412717,10_19
Texas,1,1979615,10_19
Texas,2,1886824,10_19
Utah,1,242145,10_19
Utah,2,230964,10_19
Vermont,1,41616,10_19
Vermont,2,39400,10_19
Virginia,1,545932,10_19
Virginia,2,519114,10_19
Washington,1,451747,10_19
Washington,2,432326,10_19
West Virginia,1,114168,10_19
West Virginia,2,107295,10_19
Wisconsin,1,390160,10_19
Wisconsin,2,370155,10_19
Wyoming,1,40308,10_19
Wyoming,2,35115,10_19
Alabama,1,329361,20_29
Alabama,2,333475,20_29
Alaska,1,67405,20_29
Alaska,2,54435,20_29
Arizona,1,479213,20_29
Arizona,2,446577,20_29
Arkansas,1,200850,20_29
Arkansas,2,198818,20_29
California,1,2983529,20_29
California,2,2788712,20_29
Colorado,1,400427,20_29
Colorado,2,368388,20_29
Connecticut,1,235407,20_29
Connecticut,2,222530,20_29
Delaware,1,63697,20_29
Delaware,2,63345,20_29
Washington DC,1,62598,20_29
Washington DC,2,74039,20_29
Florida,1,1308087,20_29
Florida,2,1257582,20_29
Georgia,1,712178,20_29
Georgia,2,696817,20_29
Hawaii,1,116395,20_29
Hawaii,2,94247,20_29
Idaho,1,111995,20_29
Idaho,2,105772,20_29
Illinois,1,904078,20_29
Illinois,2,883089,20_29
Indiana,1,452009,20_29
Indiana,2,443177,20_29
Iowa,1,213733,20_29
Iowa,2,203076,20_29
Kansas,1,213287,20_29
Kansas,2,195837,20_29
Kentucky,1,299550,20_29
Kentucky,2,290380,20_29
Louisiana,1,341942,20_29
Louisiana,2,341916,20_29
Maine,1,78199,20_29
Maine,2,77087,20_29
Maryland,1,410982,20_29
Maryland,2,403896,20_29
Massachusetts,1,478922,20_29
Massachusetts,2,481419,20_29
Michigan,1,667125,20_29
Michigan,2,650678,20_29
Minnesota,1,368649,20_29
Minnesota,2,357091,20_29
Mississippi,1,209674,20_29
Mississippi,2,206312,20_29
Missouri,1,417439,20_29
Missouri,2,412380,20_29
Montana,1,70215,20_29
Montana,2,65474,20_29
Nebraska,1,133764,20_29
Nebraska,2,126616,20_29
Nevada,1,198686,20_29
Nevada,2,190333,20_29
New Hampshire,1,84400,20_29
New Hampshire,2,80102,20_29
New Jersey,1,579043,20_29
New Jersey,2,551925,20_29
New Mexico,1,151407,20_29
New Mexico,2,140382,20_29
New York,1,1446644,20_29
New York,2,1440894,20_29
North Carolina,1,683765,20_29
North Carolina,2,663089,20_29
North Dakota,1,66509,20_29
North Dakota,2,55626,20_29
Ohio,1,766178,20_29
Ohio,2,755870,20_29
Oklahoma,1,281108,20_29
Oklahoma,2,268868,20_29
Oregon,1,268960,20_29
Oregon,2,262013,20_29
Pennsylvania,1,863783,20_29
Pennsylvania,2,840183,20_29
Rhode Island,1,77157,20_29
Rhode Island,2,75278,20_29
South Carolina,1,335681,20_29
South Carolina,2,327918,20_29
South Dakota,1,60816,20_29
South Dakota,2,55596,20_29
Tennessee,1,440975,20_29
Tennessee,2,442981,20_29
Texas,1,1990139,20_29
Texas,2,1895811,20_29
Utah,1,233196,20_29
Utah,2,227129,20_29
Vermont,1,41306,20_29
Vermont,2,39372,20_29
Virginia,1,601288,20_29
Virginia,2,574075,20_29
Washington,1,516813,20_29
Washington,2,480505,20_29
West Virginia,1,117486,20_29
West Virginia,2,113216,20_29
Wisconsin,1,385869,20_29
Wisconsin,2,372561,20_29
Wyoming,1,44089,20_29
Wyoming,2,39342,20_29
Alabama,1,291703,30_39
Alabama,2,308984,30_39
Alaska,1,52449,30_39
Alaska,2,47274,30_39
Arizona,1,430472,30_39
Arizona,2,417428,30_39
Arkansas,1,186644,30_39
Arkansas,2,186252,30_39
California,1,2687638,30_39
California,2,2620338,30_39
Colorado,1,384010,30_39
Colorado,2,363942,30_39
Connecticut,1,209647,30_39
Connecticut,2,215104,30_39
Delaware,1,55100,30_39
Delaware,2,58169,30_39
Washington DC,1,56464,30_39
Washington DC,2,60475,30_39
Florida,1,1182189,30_39
Florida,2,1187723,30_39
Georgia,1,658280,30_39
Georgia,2,693376,30_39
Hawaii,1,95688,30_39
Hawaii,2,89494,30_39
Idaho,1,105464,30_39
Idaho,2,99892,30_39
Illinois,1,861681,30_39
Illinois,2,864728,30_39
Indiana,1,413635,30_39
Indiana,2,410796,30_39
Iowa,1,191904,30_39
Iowa,2,186880,30_39
Kansas,1,185783,30_39
Kansas,2,179497,30_39
Kentucky,1,279943,30_39
Kentucky,2,279075,30_39
Louisiana,1,302276,30_39
Louisiana,2,303237,30_39
Maine,1,72826,30_39
Maine,2,75383,30_39
Maryland,1,376164,30_39
Maryland,2,397946,30_39
Massachusetts,1,412513,30_39
Massachusetts,2,424422,30_39
Michigan,1,576705,30_39
Michigan,2,584829,30_39
Minnesota,1,355987,30_39
Minnesota,2,345379,30_39
Mississippi,1,183811,30_39
Mississippi,2,191713,30_39
Missouri,1,379266,30_39
Missouri,2,378737,30_39
Montana,1,62939,30_39
Montana,2,59963,30_39
Nebraska,1,121971,30_39
Nebraska,2,118373,30_39
Nevada,1,197578,30_39
Nevada,2,189326,30_39
New Hampshire,1,74459,30_39
New Hampshire,2,75536,30_39
New Jersey,1,564565,30_39
New Jersey,2,575068,30_39
New Mexico,1,131502,30_39
New Mexico,2,127193,30_39
New York,1,1276413,30_39
New York,2,1313150,30_39
North Carolina,1,619777,30_39
North Carolina,2,642888,30_39
North Dakota,1,48271,30_39
North Dakota,2,41844,30_39
Ohio,1,695030,30_39
Ohio,2,699785,30_39
Oklahoma,1,250923,30_39
Oklahoma,2,244600,30_39
Oregon,1,265902,30_39
Oregon,2,261805,30_39
Pennsylvania,1,756932,30_39
Pennsylvania,2,752871,30_39
Rhode Island,1,62735,30_39
Rhode Island,2,63712,30_39
South Carolina,1,288186,30_39
South Carolina,2,299478,30_39
South Dakota,1,53104,30_39
South Dakota,2,50057,30_39
Tennessee,1,409575,30_39
Tennessee,2,421671,30_39
Texas,1,1858945,30_39
Texas,2,1846617,30_39
Utah,1,217969,30_39
Utah,2,210210,30_39
Vermont,1,34421,30_39
Vermont,2,35615,30_39
Virginia,1,551026,30_39
Virginia,2,549755,30_39
Washington,1,482937,30_39
Washington,2,466743,30_39
West Virginia,1,112194,30_39
West Virginia,2,110520,30_39
Wisconsin,1,360183,30_39
Wisconsin,2,349721,30_39
Wyoming,1,39581,30_39
Wyoming,2,36487,30_39
Alabama,1,312106,40_49
Alabama,2,323744,40_49
Alaska,1,48193,40_49
Alaska,2,44752,40_49
Arizona,1,419421,40_49
Arizona,2,416702,40_49
Arkansas,1,185119,40_49
Arkansas,2,189253,40_49
California,1,2615030,40_49
California,2,2613435,40_49
Colorado,1,359152,40_49
Colorado,2,346635,40_49
Connecticut,1,248536,40_49
Connecticut,2,263150,40_49
Delaware,1,58256,40_49
Delaware,2,61443,40_49
Washington DC,1,40437,40_49
Washington DC,2,39069,40_49
Florida,1,1282450,40_49
Florida,2,1316715,40_49
Georgia,1,691679,40_49
Georgia,2,722457,40_49
Hawaii,1,90067,40_49
Hawaii,2,87538,40_49
Idaho,1,97505,40_49
Idaho,2,98141,40_49
Illinois,1,859002,40_49
Illinois,2,868689,40_49
Indiana,1,428560,40_49
Indiana,2,431686,40_49
Iowa,1,191838,40_49
Iowa,2,186872,40_49
Kansas,1,176880,40_49
Kansas,2,173847,40_49
Kentucky,1,294241,40_49
Kentucky,2,296173,40_49
Louisiana,1,284623,40_49
Louisiana,2,297129,40_49
Maine,1,89233,40_49
Maine,2,92073,40_49
Maryland,1,403770,40_49
Maryland,2,431028,40_49
Massachusetts,1,455740,40_49
Massachusetts,2,481203,40_49
Michigan,1,652068,40_49
Michigan,2,664020,40_49
Minnesota,1,356713,40_49
Minnesota,2,353796,40_49
Mississippi,1,185682,40_49
Mississippi,2,196722,40_49
Missouri,1,377856,40_49
Missouri,2,387773,40_49
Montana,1,59358,40_49
Montana,2,57919,40_49
Nebraska,1,113665,40_49
Nebraska,2,111595,40_49
Nevada,1,196702,40_49
Nevada,2,188898,40_49
New Hampshire,1,94130,40_49
New Hampshire,2,95317,40_49
New Jersey,1,630975,40_49
New Jersey,2,656781,40_49
New Mexico,1,123402,40_49
New Mexico,2,126496,40_49
New York,1,1306702,40_49
New York,2,1369266,40_49
North Carolina,1,665904,40_49
North Carolina,2,695424,40_49
North Dakota,1,41509,40_49
North Dakota,2,39582,40_49
Ohio,1,753966,40_49
Ohio,2,769817,40_49
Oklahoma,1,235599,40_49
Oklahoma,2,235801,40_49
Oregon,1,256778,40_49
Oregon,2,251949,40_49
Pennsylvania,1,834402,40_49
Pennsylvania,2,852176,40_49
Rhode Island,1,68693,40_49
Rhode Island,2,72549,40_49
South Carolina,1,304634,40_49
South Carolina,2,320754,40_49
South Dakota,1,49789,40_49
South Dakota,2,48098,40_49
Tennessee,1,433601,40_49
Tennessee,2,443651,40_49
Texas,1,1755543,40_49
Texas,2,1773733,40_49
Utah,1,164733,40_49
Utah,2,158222,40_49
Vermont,1,40746,40_49
Vermont,2,41977,40_49
Virginia,1,565267,40_49
Virginia,2,583653,40_49
Washington,1,467173,40_49
Washington,2,458305,40_49
West Virginia,1,122433,40_49
West Virginia,2,120630,40_49
Wisconsin,1,377976,40_49
Wisconsin,2,373784,40_49
Wyoming,1,35133,40_49
Wyoming,2,33104,40_49
Alabama,1,323857,50_59
Alabama,2,347542,50_59
Alaska,1,53923,50_59
Alaska,2,50701,50_59
Arizona,1,403000,50_59
