part,quarter,Average_Visits(95%CI)
South,1,12.47 (11.21-13.73)
South,2,9.64 (8.86-10.42)
South,3,6.53 (6.02-7.05)
South,4,10.47 (9.74-11.2)
Midwest,1,10.5 (9.11-11.88)
Midwest,2,7.43 (6.75-8.12)
Midwest,3,4.43 (4.04-4.81)
Midwest,4,7.09 (6.63-7.55)
Northeast,1,10.36 (9.31-11.4)
Northeast,2,8.37 (7.63-9.1)
Northeast,3,4.02 (3.74-4.3)
Northeast,4,6.58 (6.13-7.03)
West,1,5.47 (5.05-5.9)
West,2,4.5 (4.24-4.77)
West,3,3.09 (2.95-3.23)
West,4,4.56 (4.33-4.8)
