STATE,SEX,AGEGRP,NMEMB
Alabama,1,00_04,8075
Alabama,2,00_04,7913
Alabama,1,05_09,10457
Alabama,2,05_09,10213
Alabama,1,10_19,26775
Alabama,2,10_19,25799
Alabama,1,20_29,23419
Alabama,2,20_29,23713
Alabama,1,30_39,24363
Alabama,2,30_39,26995
Alabama,1,40_49,30085
Alabama,2,40_49,32530
Alabama,1,50_59,34248
Alabama,2,50_59,37908
Alabama,1,60_69,12118
Alabama,2,60_69,13296
Alaska,1,00_04,760
Alaska,2,00_04,675
Alaska,1,05_09,898
Alaska,2,05_09,818
Alaska,1,10_19,1913
Alaska,2,10_19,1864
Alaska,1,20_29,1968
Alaska,2,20_29,1939
Alaska,1,30_39,1779
Alaska,2,30_39,1845
Alaska,1,40_49,1974
Alaska,2,40_49,2103
Alaska,1,50_59,2209
Alaska,2,50_59,2267
Alaska,1,60_69,581
Alaska,2,60_69,561
Arizona,1,00_04,13275
Arizona,2,00_04,12731
Arizona,1,05_09,15393
Arizona,2,05_09,14642
Arizona,1,10_19,31544
Arizona,2,10_19,30557
Arizona,1,20_29,25916
Arizona,2,20_29,27255
Arizona,1,30_39,30550
Arizona,2,30_39,31646
Arizona,1,40_49,31778
Arizona,2,40_49,32286
Arizona,1,50_59,29459
Arizona,2,50_59,32841
Arizona,1,60_69,10037
Arizona,2,60_69,11842
Arkansas,1,00_04,4785
Arkansas,2,00_04,4464
Arkansas,1,05_09,6131
Arkansas,2,05_09,6018
Arkansas,1,10_19,15141
Arkansas,2,10_19,14623
Arkansas,1,20_29,12671
Arkansas,2,20_29,12796
Arkansas,1,30_39,13341
Arkansas,2,30_39,14295
Arkansas,1,40_49,16377
Arkansas,2,40_49,16680
Arkansas,1,50_59,15933
Arkansas,2,50_59,16815
Arkansas,1,60_69,5054
Arkansas,2,60_69,5419
California,1,00_04,127136
California,2,00_04,120459
California,1,05_09,149963
California,2,05_09,142771
California,1,10_19,336871
California,2,10_19,323438
California,1,20_29,288843
California,2,20_29,297115
California,1,30_39,293461
California,2,30_39,333758
California,1,40_49,357289
California,2,40_49,392922
California,1,50_59,379644
California,2,50_59,426616
California,1,60_69,128923
California,2,60_69,146293
Colorado,1,00_04,12919
Colorado,2,00_04,12029
Colorado,1,05_09,14735
Colorado,2,05_09,14098
Colorado,1,10_19,30724
Colorado,2,10_19,29236
Colorado,1,20_29,25904
Colorado,2,20_29,27480
Colorado,1,30_39,30213
Colorado,2,30_39,32749
Colorado,1,40_49,33951
Colorado,2,40_49,35685
Colorado,1,50_59,35948
Colorado,2,50_59,39497
Colorado,1,60_69,12441
Colorado,2,60_69,14511
Connecticut,1,00_04,12237
Connecticut,2,00_04,11736
Connecticut,1,05_09,16384
Connecticut,2,05_09,15758
Connecticut,1,10_19,48288
Connecticut,2,10_19,45743
Connecticut,1,20_29,38639
Connecticut,2,20_29,36933
Connecticut,1,30_39,32402
Connecticut,2,30_39,34989
Connecticut,1,40_49,50328
Connecticut,2,40_49,54736
Connecticut,1,50_59,59574
Connecticut,2,50_59,63119
Connecticut,1,60_69,20040
Connecticut,2,60_69,21150
Delaware,1,00_04,4056
Delaware,2,00_04,3835
Delaware,1,05_09,4859
Delaware,2,05_09,4804
Delaware,1,10_19,11364
Delaware,2,10_19,10878
Delaware,1,20_29,8678
Delaware,2,20_29,9175
Delaware,1,30_39,8239
Delaware,2,30_39,10510
Delaware,1,40_49,10971
Delaware,2,40_49,13391
Delaware,1,50_59,11838
Delaware,2,50_59,14643
Delaware,1,60_69,4395
Delaware,2,60_69,5484
Florida,1,00_04,34136
Florida,2,00_04,32358
Florida,1,05_09,42174
Florida,2,05_09,40276
Florida,1,10_19,100656
Florida,2,10_19,98006
Florida,1,20_29,87555
Florida,2,20_29,96775
Florida,1,30_39,89651
Florida,2,30_39,105658
Florida,1,40_49,117466
Florida,2,40_49,134031
Florida,1,50_59,121513
Florida,2,50_59,145740
Florida,1,60_69,41895
Florida,2,60_69,51668
Georgia,1,00_04,35496
Georgia,2,00_04,34055
Georgia,1,05_09,46155
Georgia,2,05_09,44344
Georgia,1,10_19,113954
Georgia,2,10_19,109587
Georgia,1,20_29,87758
Georgia,2,20_29,98050
Georgia,1,30_39,90352
Georgia,2,30_39,120263
Georgia,1,40_49,122859
Georgia,2,40_49,154707
Georgia,1,50_59,123881
Georgia,2,50_59,159657
Georgia,1,60_69,44253
Georgia,2,60_69,57372
Hawaii,1,00_04,67
Hawaii,2,00_04,65
Hawaii,1,05_09,95
Hawaii,2,05_09,94
Hawaii,1,10_19,221
Hawaii,2,10_19,244
Hawaii,1,20_29,199
Hawaii,2,20_29,205
Hawaii,1,30_39,191
Hawaii,2,30_39,174
Hawaii,1,40_49,267
Hawaii,2,40_49,304
Hawaii,1,50_59,471
Hawaii,2,50_59,538
Hawaii,1,60_69,355
Hawaii,2,60_69,472
Idaho,1,00_04,9125
Idaho,2,00_04,8942
Idaho,1,05_09,11382
