STATE,SEX,AGEGRP,NMEMB
Illinois,2,30_39,42700
Illinois,1,40_49,49054
Illinois,2,40_49,50094
Illinois,1,50_59,57165
Illinois,2,50_59,60673
Illinois,1,60_69,23253
Illinois,2,60_69,24597
Indiana,1,00_04,11861
Indiana,2,00_04,11231
Indiana,1,05_09,14507
Indiana,2,05_09,13860
Indiana,1,10_19,34967
Indiana,2,10_19,33712
Indiana,1,20_29,31729
Indiana,2,20_29,31183
Indiana,1,30_39,27988
Indiana,2,30_39,30498
Indiana,1,40_49,34243
Indiana,2,40_49,36676
Indiana,1,50_59,40078
Indiana,2,50_59,45182
Indiana,1,60_69,18454
Indiana,2,60_69,20283
Iowa,1,00_04,4865
Iowa,2,00_04,4622
Iowa,1,05_09,5500
Iowa,2,05_09,5114
Iowa,1,10_19,11091
Iowa,2,10_19,10687
Iowa,1,20_29,11186
Iowa,2,20_29,11589
Iowa,1,30_39,11519
Iowa,2,30_39,11774
Iowa,1,40_49,11434
Iowa,2,40_49,11122
Iowa,1,50_59,11557
Iowa,2,50_59,12107
Iowa,1,60_69,4465
Iowa,2,60_69,4415
Kansas,1,00_04,4924
Kansas,2,00_04,4816
Kansas,1,05_09,5873
Kansas,2,05_09,5628
Kansas,1,10_19,13027
Kansas,2,10_19,12587
Kansas,1,20_29,11966
Kansas,2,20_29,12295
Kansas,1,30_39,10806
Kansas,2,30_39,11486
Kansas,1,40_49,11572
Kansas,2,40_49,12078
Kansas,1,50_59,14366
Kansas,2,50_59,15035
Kansas,1,60_69,5364
Kansas,2,60_69,5623
Kentucky,1,00_04,12603
Kentucky,2,00_04,11851
Kentucky,1,05_09,15109
Kentucky,2,05_09,14590
Kentucky,1,10_19,35422
Kentucky,2,10_19,34176
Kentucky,1,20_29,28331
Kentucky,2,20_29,31638
Kentucky,1,30_39,25646
Kentucky,2,30_39,35185
Kentucky,1,40_49,34135
Kentucky,2,40_49,45464
Kentucky,1,50_59,39683
Kentucky,2,50_59,53716
Kentucky,1,60_69,18051
Kentucky,2,60_69,25629
Louisiana,1,00_04,21281
Louisiana,2,00_04,20348
Louisiana,1,05_09,24465
Louisiana,2,05_09,23432
Louisiana,1,10_19,56818
Louisiana,2,10_19,55394
Louisiana,1,20_29,60287
Louisiana,2,20_29,63169
Louisiana,1,30_39,60349
Louisiana,2,30_39,71584
Louisiana,1,40_49,65301
Louisiana,2,40_49,78902
Louisiana,1,50_59,80546
Louisiana,2,50_59,99997
Louisiana,1,60_69,35996
Louisiana,2,60_69,45163
Maine,1,00_04,1136
Maine,2,00_04,1073
Maine,1,05_09,1371
Maine,2,05_09,1294
Maine,1,10_19,3197
Maine,2,10_19,3071
Maine,1,20_29,3527
Maine,2,20_29,3134
Maine,1,30_39,3014
Maine,2,30_39,2803
Maine,1,40_49,3669
Maine,2,40_49,3623
Maine,1,50_59,5499
Maine,2,50_59,4961
Maine,1,60_69,2089
Maine,2,60_69,1933
Maryland,1,00_04,6413
Maryland,2,00_04,6245
Maryland,1,05_09,7177
Maryland,2,05_09,6917
Maryland,1,10_19,15887
Maryland,2,10_19,15447
Maryland,1,20_29,16238
Maryland,2,20_29,15809
Maryland,1,30_39,15914
Maryland,2,30_39,17580
Maryland,1,40_49,17207
Maryland,2,40_49,19238
Maryland,1,50_59,20956
Maryland,2,50_59,23438
Maryland,1,60_69,7828
Maryland,2,60_69,8560
Massachusetts,1,00_04,10365
Massachusetts,2,00_04,9763
Massachusetts,1,05_09,11294
Massachusetts,2,05_09,10764
Massachusetts,1,10_19,24133
Massachusetts,2,10_19,23492
Massachusetts,1,20_29,22486
Massachusetts,2,20_29,23144
Massachusetts,1,30_39,24288
Massachusetts,2,30_39,27376
Massachusetts,1,40_49,27269
Massachusetts,2,40_49,29668
Massachusetts,1,50_59,30218
Massachusetts,2,50_59,33316
Massachusetts,1,60_69,11374
Massachusetts,2,60_69,12540
Michigan,1,00_04,20242
Michigan,2,00_04,19082
Michigan,1,05_09,24822
Michigan,2,05_09,23731
Michigan,1,10_19,64628
Michigan,2,10_19,61650
Michigan,1,20_29,60460
Michigan,2,20_29,57965
Michigan,1,30_39,44417
Michigan,2,30_39,47674
Michigan,1,40_49,61294
Michigan,2,40_49,64709
Michigan,1,50_59,81417
Michigan,2,50_59,91731
Michigan,1,60_69,45449
Michigan,2,60_69,54211
Minnesota,1,00_04,7618
Minnesota,2,00_04,7299
Minnesota,1,05_09,8143
Minnesota,2,05_09,7848
Minnesota,1,10_19,16121
Minnesota,2,10_19,15528
Minnesota,1,20_29,14741
Minnesota,2,20_29,14014
Minnesota,1,30_39,17167
Minnesota,2,30_39,17618
Minnesota,1,40_49,17314
Minnesota,2,40_49,17014
Minnesota,1,50_59,19051
Minnesota,2,50_59,19216
Minnesota,1,60_69,6465
Minnesota,2,60_69,6279
Mississippi,1,00_04,5657
Mississippi,2,00_04,5330
Mississippi,1,05_09,6889
Mississippi,2,05_09,6285
Mississippi,1,10_19,15568
Mississippi,2,10_19,14734
Mississippi,1,20_29,15099
Mississippi,2,20_29,17810
Mississippi,1,30_39,15721
Mississippi,2,30_39,24441
Mississippi,1,40_49,18500
Mississippi,2,40_49,28586
Mississippi,1,50_59,20558
Mississippi,2,50_59,31180
Mississippi,1,60_69,8812
Mississippi,2,60_69,12613
Missouri,1,00_04,12232
Missouri,2,00_04,11663
Missouri,1,05_09,14469
Missouri,2,05_09,13941
Missouri,1,10_19,32785
Missouri,2,10_19,31363
Missouri,1,20_29,29473
Missouri,2,20_29,30293
Missouri,1,30_39,25940
Missouri,2,30_39,30701
Missouri,1,40_49,28744
Missouri,2,40_49,34631
Missouri,1,50_59,35772
Missouri,2,50_59,42635
Missouri,1,60_69,14138
Missouri,2,60_69,16842
Montana,1,00_04,600
Montana,2,00_04,625
Montana,1,05_09,811
Montana,2,05_09,725
Montana,1,10_19,1571
Montana,2,10_19,1532
Montana,1,20_29,1790
Montana,2,20_29,1661
Montana,1,30_39,1605
Montana,2,30_39,1616
Montana,1,40_49,1609
Montana,2,40_49,1561
Montana,1,50_59,1942
Montana,2,50_59,2011
Montana,1,60_69,851
Montana,2,60_69,843
Nebraska,1,00_04,2505
Nebraska,2,00_04,2361
Nebraska,1,05_09,2651
Nebraska,2,05_09,2658
Nebraska,1,10_19,5400
Nebraska,2,10_19,5159
Nebraska,1,20_29,5093
Nebraska,2,20_29,4934
Nebraska,1,30_39,5397
Nebraska,2,30_39,5339
Nebraska,1,40_49,4986
Nebraska,2,40_49,4906
Nebraska,1,50_59,5459
Nebraska,2,50_59,5478
Nebraska,1,60_69,2105
Nebraska,2,60_69,2045
Nevada,1,00_04,4442
Nevada,2,00_04,4227
Nevada,1,05_09,5501
Nevada,2,05_09,5091
Nevada,1,10_19,11448
Nevada,2,10_19,11035
Nevada,1,20_29,10315
Nevada,2,20_29,11013
Nevada,1,30_39,10448
Nevada,2,30_39,11291
Nevada,1,40_49,12267
Nevada,2,40_49,12539
Nevada,1,50_59,11806
Nevada,2,50_59,12498
Nevada,1,60_69,4341
Nevada,2,60_69,4982
New Hampshire,1,00_04,1624
New Hampshire,2,00_04,1520
New Hampshire,1,05_09,1980
New Hampshire,2,05_09,1849
New Hampshire,1,10_19,4660
New Hampshire,2,10_19,4358
New Hampshire,1,20_29,4234
New Hampshire,2,20_29,3992
New Hampshire,1,30_39,3891
New Hampshire,2,30_39,4201
New Hampshire,1,40_49,5214
New Hampshire,2,40_49,5338
