Region,Amplitude,Phase,Offset,RSS,Amplitude_SE,Phase_SE,Offset_SE
Midwest,1.0934057065648213,2.1753379957819434,2.4539036283597553,22.798794555717034,0.06341097266790924,0.11076038374089031,0.04483832882137849
Northeast,1.1781447111378862,2.572849038631357,2.4436219689783054,17.105682156863473,0.054926087750757954,0.08903923263664038,0.03883860940989849
South,1.0887840509260935,1.7440306623618405,3.2595061782789077,30.236591242004447,0.07302555911620673,0.12809568809840247,0.051636867633208024
West,0.42530047065989735,1.9711882239314025,1.4688279787000535,2.915831101752594,0.022677211378840007,0.10183455565742043,0.01603521010171347
