STATE,SEX,AGEGRP,NMEMB
Alabama,1,00_04,6648
Alabama,2,00_04,6303
Alabama,1,05_09,7810
Alabama,2,05_09,7853
Alabama,1,10_19,19648
Alabama,2,10_19,19219
Alabama,1,20_29,21573
Alabama,2,20_29,21197
Alabama,1,30_39,19942
Alabama,2,30_39,21802
Alabama,1,40_49,24249
Alabama,2,40_49,24924
Alabama,1,50_59,27067
Alabama,2,50_59,28525
Alabama,1,60_69,11212
Alabama,2,60_69,11828
Alaska,1,00_04,474
Alaska,2,00_04,428
Alaska,1,05_09,541
Alaska,2,05_09,461
Alaska,1,10_19,1175
Alaska,2,10_19,1088
Alaska,1,20_29,1241
Alaska,2,20_29,1290
Alaska,1,30_39,1309
Alaska,2,30_39,1305
Alaska,1,40_49,1272
Alaska,2,40_49,1260
Alaska,1,50_59,1298
Alaska,2,50_59,1293
Alaska,1,60_69,515
Alaska,2,60_69,518
Arizona,1,00_04,9837
Arizona,2,00_04,9449
Arizona,1,05_09,11691
Arizona,2,05_09,10987
Arizona,1,10_19,25283
Arizona,2,10_19,24514
Arizona,1,20_29,24402
Arizona,2,20_29,24587
Arizona,1,30_39,24625
Arizona,2,30_39,25044
Arizona,1,40_49,26570
Arizona,2,40_49,26707
Arizona,1,50_59,27211
Arizona,2,50_59,28263
Arizona,1,60_69,10484
Arizona,2,60_69,10964
Arkansas,1,00_04,1660
Arkansas,2,00_04,1633
Arkansas,1,05_09,2058
Arkansas,2,05_09,1952
Arkansas,1,10_19,5051
Arkansas,2,10_19,4902
Arkansas,1,20_29,5187
Arkansas,2,20_29,4649
Arkansas,1,30_39,5047
Arkansas,2,30_39,4666
Arkansas,1,40_49,5911
Arkansas,2,40_49,5583
Arkansas,1,50_59,6099
Arkansas,2,50_59,5753
Arkansas,1,60_69,2074
Arkansas,2,60_69,2067
California,1,00_04,43046
California,2,00_04,40573
California,1,05_09,48370
California,2,05_09,45943
California,1,10_19,102353
California,2,10_19,97955
California,1,20_29,98222
California,2,20_29,98439
California,1,30_39,112288
California,2,30_39,123564
California,1,40_49,121539
California,2,40_49,129575
California,1,50_59,126914
California,2,50_59,131769
California,1,60_69,50107
California,2,60_69,51606
Colorado,1,00_04,8214
Colorado,2,00_04,8015
Colorado,1,05_09,9572
Colorado,2,05_09,8898
Colorado,1,10_19,20006
Colorado,2,10_19,19014
Colorado,1,20_29,19335
Colorado,2,20_29,19784
Colorado,1,30_39,22363
Colorado,2,30_39,23988
Colorado,1,40_49,22937
Colorado,2,40_49,23436
Colorado,1,50_59,23817
Colorado,2,50_59,24708
Colorado,1,60_69,9720
Colorado,2,60_69,9707
Connecticut,1,00_04,5298
Connecticut,2,00_04,5013
Connecticut,1,05_09,6132
Connecticut,2,05_09,5830
Connecticut,1,10_19,14402
Connecticut,2,10_19,13744
Connecticut,1,20_29,15409
Connecticut,2,20_29,12816
Connecticut,1,30_39,13786
Connecticut,2,30_39,12544
Connecticut,1,40_49,14813
Connecticut,2,40_49,14986
Connecticut,1,50_59,19765
Connecticut,2,50_59,19544
Connecticut,1,60_69,8392
Connecticut,2,60_69,7629
Delaware,1,00_04,3433
Delaware,2,00_04,3182
Delaware,1,05_09,3897
Delaware,2,05_09,3710
Delaware,1,10_19,8942
Delaware,2,10_19,8512
Delaware,1,20_29,7741
Delaware,2,20_29,8306
Delaware,1,30_39,7681
Delaware,2,30_39,9097
Delaware,1,40_49,8427
Delaware,2,40_49,10336
Delaware,1,50_59,10036
Delaware,2,50_59,12271
Delaware,1,60_69,4501
Delaware,2,60_69,5383
Florida,1,00_04,33322
Florida,2,00_04,31531
