Region,avg_vis_thous,95%CI
South,39.11407414823672,(36.21-42.01)
Midwest,29.44684354001955,(26.78-32.11)
Northeast,29.32346363112372,(27.04-31.61)
West,17.62593574429241,(16.76-18.49)
