STATE,SEX,AGEGRP,NMEMB
Alabama,1,00_04,9650
Alabama,2,00_04,9307
Alabama,1,05_09,12072
Alabama,2,05_09,11677
Alabama,1,10_19,30647
Alabama,2,10_19,29541
Alabama,1,20_29,23825
Alabama,2,20_29,25159
Alabama,1,30_39,28494
Alabama,2,30_39,30818
Alabama,1,40_49,34519
Alabama,2,40_49,38020
Alabama,1,50_59,38956
Alabama,2,50_59,43213
Alabama,1,60_69,14322
Alabama,2,60_69,15028
Alaska,1,00_04,945
Alaska,2,00_04,838
Alaska,1,05_09,1032
Alaska,2,05_09,974
Alaska,1,10_19,2452
Alaska,2,10_19,2338
Alaska,1,20_29,2111
Alaska,2,20_29,2284
Alaska,1,30_39,1872
Alaska,2,30_39,2232
Alaska,1,40_49,2434
Alaska,2,40_49,2833
Alaska,1,50_59,2671
Alaska,2,50_59,3053
Alaska,1,60_69,661
Alaska,2,60_69,686
Arizona,1,00_04,16306
Arizona,2,00_04,15592
Arizona,1,05_09,17750
Arizona,2,05_09,16766
Arizona,1,10_19,36367
Arizona,2,10_19,35025
Arizona,1,20_29,27766
Arizona,2,20_29,31615
Arizona,1,30_39,34569
Arizona,2,30_39,37383
Arizona,1,40_49,36108
Arizona,2,40_49,38334
Arizona,1,50_59,32228
Arizona,2,50_59,37747
Arizona,1,60_69,11904
Arizona,2,60_69,13797
Arkansas,1,00_04,5047
Arkansas,2,00_04,4785
Arkansas,1,05_09,6508
Arkansas,2,05_09,6488
Arkansas,1,10_19,16162
Arkansas,2,10_19,15722
Arkansas,1,20_29,11587
Arkansas,2,20_29,11119
Arkansas,1,30_39,14547
Arkansas,2,30_39,14436
Arkansas,1,40_49,18424
Arkansas,2,40_49,17589
Arkansas,1,50_59,16939
Arkansas,2,50_59,16790
Arkansas,1,60_69,5327
Arkansas,2,60_69,5566
California,1,00_04,139153
California,2,00_04,132456
California,1,05_09,160634
California,2,05_09,153514
California,1,10_19,368355
California,2,10_19,354114
California,1,20_29,263197
California,2,20_29,279560
California,1,30_39,289219
California,2,30_39,331891
California,1,40_49,364118
California,2,40_49,405692
California,1,50_59,379763
California,2,50_59,432637
California,1,60_69,132006
California,2,60_69,147443
Colorado,1,00_04,14278
Colorado,2,00_04,13427
Colorado,1,05_09,16132
Colorado,2,05_09,15542
Colorado,1,10_19,34026
Colorado,2,10_19,32190
Colorado,1,20_29,26391
Colorado,2,20_29,27780
Colorado,1,30_39,32044
Colorado,2,30_39,33828
Colorado,1,40_49,37844
Colorado,2,40_49,39250
Colorado,1,50_59,38371
Colorado,2,50_59,41473
Colorado,1,60_69,12877
Colorado,2,60_69,14858
Connecticut,1,00_04,14928
Connecticut,2,00_04,14227
Connecticut,1,05_09,21199
Connecticut,2,05_09,20129
Connecticut,1,10_19,59857
Connecticut,2,10_19,57339
Connecticut,1,20_29,42203
Connecticut,2,20_29,40913
Connecticut,1,30_39,38447
Connecticut,2,30_39,42907
Connecticut,1,40_49,62650
Connecticut,2,40_49,69576
Connecticut,1,50_59,70570
Connecticut,2,50_59,77508
Connecticut,1,60_69,24262
Connecticut,2,60_69,26727
Delaware,1,00_04,4245
Delaware,2,00_04,4024
Delaware,1,05_09,4967
Delaware,2,05_09,4907
Delaware,1,10_19,11986
Delaware,2,10_19,11359
Delaware,1,20_29,6754
Delaware,2,20_29,7679
Delaware,1,30_39,8702
Delaware,2,30_39,10777
Delaware,1,40_49,11348
Delaware,2,40_49,14102
Delaware,1,50_59,12109
Delaware,2,50_59,15087
Delaware,1,60_69,4843
Delaware,2,60_69,5707
Florida,1,00_04,37344
Florida,2,00_04,35320
Florida,1,05_09,43616
Florida,2,05_09,41466
Florida,1,10_19,103005
Florida,2,10_19,99766
Florida,1,20_29,79199
Florida,2,20_29,89049
Florida,1,30_39,95118
Florida,2,30_39,108293
Florida,1,40_49,123535
Florida,2,40_49,136769
Florida,1,50_59,119307
Florida,2,50_59,140270
Florida,1,60_69,43171
Florida,2,60_69,51164
Georgia,1,00_04,44937
Georgia,2,00_04,42635
Georgia,1,05_09,55995
Georgia,2,05_09,53967
Georgia,1,10_19,132747
Georgia,2,10_19,128045
Georgia,1,20_29,87263
Georgia,2,20_29,103187
Georgia,1,30_39,106902
Georgia,2,30_39,141138
Georgia,1,40_49,138833
Georgia,2,40_49,173266
Georgia,1,50_59,135516
Georgia,2,50_59,173991
Georgia,1,60_69,49937
Georgia,2,60_69,61574
Hawaii,1,00_04,96
Hawaii,2,00_04,89
Hawaii,1,05_09,109
Hawaii,2,05_09,130
Hawaii,1,10_19,274
Hawaii,2,10_19,282
Hawaii,1,20_29,246
Hawaii,2,20_29,272
Hawaii,1,30_39,250
Hawaii,2,30_39,232
Hawaii,1,40_49,355
Hawaii,2,40_49,398
Hawaii,1,50_59,583
Hawaii,2,50_59,689
Hawaii,1,60_69,429
Hawaii,2,60_69,460
Idaho,1,00_04,2988
Idaho,2,00_04,2857
Idaho,1,05_09,3481
Idaho,2,05_09,3348
Idaho,1,10_19,7054
Idaho,2,10_19,6913
Idaho,1,20_29,4886
Idaho,2,20_29,5365
Idaho,1,30_39,5493
Idaho,2,30_39,5598
Idaho,1,40_49,5751
Idaho,2,40_49,6068
Idaho,1,50_59,6330
Idaho,2,50_59,6786
Idaho,1,60_69,2241
Idaho,2,60_69,2357
Illinois,1,00_04,76181
Illinois,2,00_04,72613
Illinois,1,05_09,89365
Illinois,2,05_09,85324
Illinois,1,10_19,204702
Illinois,2,10_19,195693
Illinois,1,20_29,166310
Illinois,2,20_29,169881
Illinois,1,30_39,182059
Illinois,2,30_39,195779
Illinois,1,40_49,219792
Illinois,2,40_49,239945
Illinois,1,50_59,225020
Illinois,2,50_59,252487
Illinois,1,60_69,72688
Illinois,2,60_69,80270
Indiana,1,00_04,54242
Indiana,2,00_04,51366
Indiana,1,05_09,59965
Indiana,2,05_09,57171
Indiana,1,10_19,127062
Indiana,2,10_19,123686
Indiana,1,20_29,75220
Indiana,2,20_29,81776
Indiana,1,30_39,85284
Indiana,2,30_39,93861
Indiana,1,40_49,109102
Indiana,2,40_49,117439
Indiana,1,50_59,124397
Indiana,2,50_59,135105
Indiana,1,60_69,44284
Indiana,2,60_69,47681
Iowa,1,00_04,7083
Iowa,2,00_04,6869
Iowa,1,05_09,8424
Iowa,2,05_09,8140
Iowa,1,10_19,19598
Iowa,2,10_19,18527
Iowa,1,20_29,15200
Iowa,2,20_29,14939
Iowa,1,30_39,15963
Iowa,2,30_39,15581
Iowa,1,40_49,19641
Iowa,2,40_49,19077
Iowa,1,50_59,19842
Iowa,2,50_59,18927
Iowa,1,60_69,5703
Iowa,2,60_69,5331
Kansas,1,00_04,7146
Kansas,2,00_04,6758
Kansas,1,05_09,8387
Kansas,2,05_09,7861
Kansas,1,10_19,18758
Kansas,2,10_19,17987
Kansas,1,20_29,12715
Kansas,2,20_29,13193
Kansas,1,30_39,14418
Kansas,2,30_39,14906
Kansas,1,40_49,17932
Kansas,2,40_49,18529
Kansas,1,50_59,18653
Kansas,2,50_59,19798
Kansas,1,60_69,6192
Kansas,2,60_69,6163
Kentucky,1,00_04,16462
Kentucky,2,00_04,15699
Kentucky,1,05_09,20708
Kentucky,2,05_09,19639
Kentucky,1,10_19,48937
Kentucky,2,10_19,46659
Kentucky,1,20_29,35034
Kentucky,2,20_29,36101
Kentucky,1,30_39,44222
Kentucky,2,30_39,45791
Kentucky,1,40_49,56434
Kentucky,2,40_49,58422
Kentucky,1,50_59,58392
Kentucky,2,50_59,61172
Kentucky,1,60_69,19617
Kentucky,2,60_69,19911
Louisiana,1,00_04,7747
Louisiana,2,00_04,7391
Louisiana,1,05_09,9244
Louisiana,2,05_09,8835
Louisiana,1,10_19,21498
Louisiana,2,10_19,21211
Louisiana,1,20_29,18555
Louisiana,2,20_29,17979
Louisiana,1,30_39,20465
Louisiana,2,30_39,19855
Louisiana,1,40_49,22900
Louisiana,2,40_49,23581
Louisiana,1,50_59,26108
Louisiana,2,50_59,26058
Louisiana,1,60_69,8788
Louisiana,2,60_69,8409
Maine,1,00_04,4616
Maine,2,00_04,4413
Maine,1,05_09,6672
Maine,2,05_09,6225
Maine,1,10_19,18725
Maine,2,10_19,18173
